duration,protocol_type,service,flag,src_bytes,dst_bytes,land,wrong_fragment,urgent,hot,num_failed_logins,logged_in,count,srv_count,serror_rate,dst_host_count,dst_host_srv_count,attack_label,target
2,tcp,dns,SF,32959.0,17441.0,0,0,0,23,0,1,26,4,0.058242299538846666,16.0,117,normal,0
0,udp,http,SF,207.0,52.0,0,0,1,2,0,0,306,77,0.008319357762918833,158.5,100,portsweep,1
0,tcp,domain_u,RSTO,422.0,75.0,0,3,0,2,0,0,329,380,0.7677802579178641,15.0,223,teardrop,1
0,icmp,other,S0,389.0,41.0,0,0,0,3,0,0,504,252,0.756483208121854,35.0,200,smurf,1
5,tcp,ftp,S0,47380.0,14551.0,0,0,0,23,0,1,30,116,0.05268505856721747,39.0,160,normal,0
0,tcp,dns,SF,30542.0,53417.0,0,0,0,26,0,1,74,143,0.10398143102262783,75.0,42,normal,0
5,tcp,other,REJ,43021.0,12549.0,0,0,0,21,0,1,2,67,0.0025594637510936045,49.0,184,normal,0
0,tcp,private,RSTO,311.0,39.0,1,0,0,1,0,0,38,97,0.047290781206951495,86.0,35,land,1
0,icmp,private,REJ,338.0,85.0,0,0,0,2,0,0,327,298,0.999006908332516,19.0,234,smurf,1
0,icmp,http,S0,146.0,69.0,0,1,0,3,0,1,223,509,0.9885822202472003,4.0,217,pod,1
0,tcp,ftp,SF,54487.0,52858.0,0,0,0,26,0,1,28,87,0.02134430405576444,50.0,88,normal,0
0,tcp,domain_u,SF,410.0,61.0,0,0,0,1,0,0,328,136,0.12912801675753596,158.5,118,portsweep,1
1,icmp,domain_u,RSTO,281.0,86.0,0,0,0,1,0,1,373,366,0.9358604194675488,89.0,246,back,1
5,tcp,http,SF,3164.0,58290.0,0,0,0,21,0,1,30,45,0.12667056895816373,6.0,145,normal,0
1,udp,http,SF,25664.0,23519.0,0,0,0,4,0,0,44,92,0.028496877159801343,91.0,92,normal,0
1,udp,other,S0,13778.0,49592.0,0,0,0,9,0,0,95,73,0.10840768293665325,2.0,186,normal,0
0,tcp,dns,SF,46585.0,13836.0,0,0,0,8,0,1,95,11,0.030082632116069766,47.0,138,normal,0
0,udp,domain_u,S0,436.0,68.0,0,0,0,4,5,0,263,325,0.985855775102657,75.0,205,neptune,1
0,tcp,other,REJ,195.0,20.0,0,0,0,2,5,1,465,456,0.9989467470887375,74.0,209,neptune,1
5,udp,http,SF,1333.0,8112.0,0,0,0,0,0,0,73,114,0.08220031771838994,21.0,96,normal,0
0,icmp,http,RSTO,254.0,69.0,0,0,0,0,0,0,301,429,0.99091828339017,82.0,242,smurf,1
2,udp,http,SF,55378.0,25728.0,0,0,0,10,0,1,53,137,0.1321928050382759,6.0,87,normal,0
5,tcp,http,SF,5986.0,46928.0,0,0,0,24,0,1,7,45,0.07087356146049122,45.0,26,normal,0
5,udp,ssh,SF,29078.0,53291.0,0,0,1,10,0,0,13,83,0.11826576601054757,80.0,165,normal,0
0,tcp,private,REJ,304.0,27.0,0,0,2,0,6,0,465,290,0.7603335670762664,83.0,235,neptune,1
0,udp,private,S0,469.0,2.0,0,1,0,1,0,0,313,306,0.8148089790011865,61.0,230,teardrop,1
1,tcp,http,SF,14795.0,30737.0,0,0,0,4,0,1,92,141,0.04995981596879287,95.0,181,normal,0
1,udp,other,REJ,196.0,39.0,0,0,0,1,6,0,472,211,0.7536573978981622,81.0,232,neptune,1
0,icmp,http,S0,480.0,3.0,0,0,0,0,0,0,202,290,0.9868894540997011,12.0,231,smurf,1
0,tcp,http,SH,57403.375,57719.0,0,0,0,24,0,1,91,125,0.10256826307073856,84.0,147,normal,0
0,icmp,domain_u,REJ,290.0,75.0,0,0,0,2,0,0,455,264,0.9813024180117302,24.0,210,smurf,1
3,icmp,http,SF,45668.0,39869.0,0,0,0,20,0,1,94,51,0.015924590328539906,9.0,77,normal,0
4,tcp,dns,SF,11603.0,50428.0,0,0,0,2,0,1,41,125,0.04443933412932477,56.0,176,normal,0
1,icmp,other,SF,431.0,70.0,0,0,0,3,3,0,24,6,0.11505555500093156,46.0,168,warezclient,1
0,tcp,smtp,REJ,533.0,91.0,0,0,0,1,0,0,474,17,0.047467891178985054,158.5,107,portsweep,1
0,udp,domain_u,S0,509.0,89.0,0,0,0,3,0,0,338,490,0.8686627280239414,30.0,231,back,1
4,tcp,smtp,SF,17004.0,23020.0,0,0,0,16,0,1,24,61,0.09016408024953686,50.0,57,normal,0
5,tcp,http,SF,10121.0,45698.0,0,0,0,3,0,1,20,95,0.03889739213746594,61.0,183,normal,0
0,icmp,domain_u,S0,408.0,56.0,0,4,0,1,0,0,429,207,0.9889834167243909,7.0,228,pod,1
0,tcp,other,S0,401.0,55.0,0,0,0,0,2,1,377,261,0.7738151026773739,15.0,204,neptune,1
5,tcp,http,REJ,2285.0,31519.0,0,0,0,12,0,1,81,23,0.018024853748103187,65.0,196,normal,0
0,tcp,domain_u,S0,383.0,12.0,0,0,0,0,1,1,377,233,0.8295836464032815,15.0,247,neptune,1
1,tcp,dns,SF,24054.0,18308.0,0,0,0,8,0,0,68,148,0.13760396885203174,18.0,76,normal,0
0,tcp,http,REJ,182.0,62.0,1,0,0,4,0,1,98,72,0.057320625682529734,21.0,68,land,1
4,udp,http,SF,26553.0,1111.0,0,0,0,26,0,1,33,98,0.08309824522869809,47.0,69,normal,0
0,icmp,http,REJ,598.0,74.0,0,2,0,1,0,1,483,302,0.908786502434224,65.0,223,pod,1
