duration,protocol_type,service,flag,src_bytes,dst_bytes,land,wrong_fragment,urgent,hot,num_failed_logins,logged_in,count,srv_count,serror_rate,dst_host_count,dst_host_srv_count,attack_label,target
2,tcp,dns,SF,32959,17441,0,0,0,23,0,1,26,4,0.058242299538846666,16,117,normal,0
0,udp,http,SF,207,52,0,0,1,2,0,0,306,77,0.008319357762918833,233,100,portsweep,1
0,tcp,domain_u,RSTO,422,75,0,3,0,2,0,0,329,380,0.7677802579178641,15,223,teardrop,1
0,icmp,other,S0,389,41,0,0,0,3,0,0,504,252,0.756483208121854,35,200,smurf,1
10,tcp,ftp,S0,47380,14551,0,0,0,23,0,1,30,116,0.05268505856721747,39,160,normal,0
0,tcp,dns,SF,30542,53417,0,0,0,27,0,1,74,143,0.10398143102262783,75,42,normal,0
7,tcp,other,REJ,43021,12549,0,0,0,21,0,1,2,67,0.0025594637510936045,49,184,normal,0
0,tcp,private,RSTO,311,39,1,0,0,1,0,0,38,97,0.047290781206951495,86,35,land,1
0,icmp,private,REJ,338,85,0,0,0,2,0,0,327,298,0.999006908332516,19,234,smurf,1
0,icmp,http,S0,146,69,0,1,0,3,0,1,223,509,0.9885822202472003,4,217,pod,1
0,tcp,ftp,SF,54487,52858,0,0,0,28,0,1,28,87,0.02134430405576444,50,88,normal,0
0,tcp,domain_u,SF,410,61,0,0,0,1,0,0,328,136,0.12912801675753596,212,118,portsweep,1
1,icmp,domain_u,RSTO,281,86,0,0,0,1,0,1,373,366,0.9358604194675488,89,246,back,1
5,tcp,http,SF,3164,58290,0,0,0,21,0,1,30,45,0.12667056895816373,6,145,normal,0
1,udp,http,SF,25664,23519,0,0,0,4,0,0,44,92,0.028496877159801343,91,92,normal,0
1,udp,other,S0,13778,49592,0,0,0,9,0,0,95,73,0.10840768293665325,2,186,normal,0
0,tcp,dns,SF,46585,13836,0,0,0,8,0,1,95,11,0.030082632116069766,47,138,normal,0
0,udp,domain_u,S0,436,68,0,0,0,4,5,0,263,325,0.985855775102657,75,205,neptune,1
0,tcp,other,REJ,195,20,0,0,0,2,5,1,465,456,0.9989467470887375,74,209,neptune,1
9,udp,http,SF,1333,8112,0,0,0,0,0,0,73,114,0.08220031771838994,21,96,normal,0
0,icmp,http,RSTO,254,69,0,0,0,0,0,0,301,429,0.99091828339017,82,242,smurf,1
2,udp,http,SF,55378,25728,0,0,0,10,0,1,53,137,0.1321928050382759,6,87,normal,0
15,tcp,http,SF,5986,46928,0,0,0,24,0,1,7,45,0.07087356146049122,45,26,normal,0
6,udp,ssh,SF,29078,53291,0,0,1,10,0,0,13,83,0.11826576601054757,80,165,normal,0
0,tcp,private,REJ,304,27,0,0,2,0,6,0,465,290,0.7603335670762664,83,235,neptune,1
0,udp,private,S0,469,2,0,1,0,1,0,0,313,306,0.8148089790011865,61,230,teardrop,1
1,tcp,http,SF,14795,30737,0,0,0,4,0,1,92,141,0.04995981596879287,95,181,normal,0
